site     long.      lat. 	   X		   Y		    Z 		 s_year  e_year    d_year
 NAUS  -60.0550   -3.0229     3179409.3750    -5519130.6867     -334110.0914    2006.001 2021.988  15.99 
 NAVI  -71.8246  -33.9527     1652060.7747    -5032059.6928    -3542174.9602    2010.188 2021.933  11.75 
 NESA  -64.4540  -40.1054     2106689.3804    -4407656.6928    -4086996.6975    2009.963 2019.999  10.04 
 NGAQ  -60.7293  -26.6859     2788261.4653    -4974591.9433    -2847222.1363    2010.223 2016.985   6.76 
 OVLL  -71.2039  -30.6037     1770399.9176    -5201675.2804    -3228286.1094    2004.318 2021.988  17.67 
 PAPO  -70.4953  -25.1083     1929511.5556    -5447340.4647    -2689964.4565    2019.681 2021.988   2.31 
 PARA  -49.2310  -25.4484     3763751.6480    -4365113.8017    -2724404.6967    2000.010 2007.347   7.34 
 PAZU  -70.5987  -26.1479     1903226.5509    -5404111.3775    -2793946.8416    2013.703 2021.988   8.28 
 PB01  -69.4879  -21.0435     2087099.9120    -5578600.2895    -2276240.2245    2007.903 2020.075  12.17 
 PB02  -69.8928  -21.3153     2043929.6561    -5583134.9741    -2304352.5318    2007.905 2020.075  12.17 
 PB03  -69.7520  -22.0489     2047395.1905    -5550297.8153    -2380013.3197    2007.903 2019.925  12.02 
 PB04  -70.1497  -22.3350     2004774.4055    -5553184.5637    -2409381.4556    2007.900 2018.292  10.39 
 PB05  -70.2030  -22.8532     1992010.3437    -5533937.4478    -2462216.6258    2007.897 2019.862  11.96 
 PB06  -69.5721  -22.7060     2055117.8631    -5517833.4482    -2447285.7389    2009.768 2020.075  10.31 
 PB07  -69.8860  -21.7269     2039000.0882    -5567627.8824    -2346946.3853    2009.845 2018.292   8.45 
 PB08  -69.1609  -20.1430     2132072.2966    -5601216.9971    -2183617.9670    2009.807 2020.075  10.27 
 PB11  -69.6557  -19.7613     2088092.8158    -5631477.3018    -2143316.3468    2013.366 2020.075   6.71 
 PCAL  -68.9297  -22.4563     2120943.2829    -5505056.8614    -2422067.0763    2003.914 2010.095   6.18 
 PCCL  -70.1067  -18.4577     2059697.5658    -5691945.1199    -2006861.0241    2005.801 2021.988  16.19 
 PCHA  -69.4321  -19.8695     2108730.3038    -5619734.7744    -2154683.5111    2005.503 2018.393  12.89 
 PCMU  -71.9612  -34.4962     1629565.8323    -5003744.5009    -3592026.1662    2015.308 2021.985   6.68 
 PEDR  -70.6891  -30.8390     1812860.8605    -5173570.9421    -3251074.9534    2007.152 2021.985  14.83 
 PEJO  -61.8946  -35.8063     2439651.9666    -4568033.3679    -3710849.2461    2010.733 2021.988  11.25 
 PELL  -72.6056  -35.8279     1547738.6733    -4940523.6179    -3712785.3297    2010.190 2021.985  11.79 
 PFRJ  -71.6354  -30.6747     1729897.2172    -5211020.6489    -3235037.6567    2007.001 2021.985  14.98 
 PICB  -69.3280  -20.4885     2110482.4153    -5593502.6276    -2218919.4794    2003.505 2007.845   4.34 
 PICC  -69.3346  -20.4898     2109816.2699    -5593685.4068    -2219052.4905    2009.900 2021.105  11.21 
 PICN  -69.3280  -20.4885     2110483.5184    -5593500.8677    -2218922.4267    2000.042 2003.289   3.25 
 PLAJ  -72.6969  -37.2546     1511818.5153    -4852968.9919    -3839969.4813    2010.207 2012.023   1.82 
 PLVP  -73.5850  -37.1488     1438417.1087    -4882611.9193    -3830607.0466    2014.637 2021.985   7.35 
 PMEJ  -70.4484  -23.1008     1964357.7631    -5531332.4456    -2487012.5035    2003.911 2021.988  18.08 
 POAL  -51.1198  -30.0740     3467519.4062    -4300378.5537    -3177517.6859    2004.001 2021.988  17.99 
 PORT  -70.1300  -32.8352     1824126.1987    -5047354.7381    -3440205.3228    2002.947 2021.985  19.04 
 POVE  -63.8963   -8.7093     2774265.6172    -5662060.1407     -959415.9162    2006.010 2021.988  15.98 
 PRCV  -53.4663  -24.9628     3444651.9152    -4649463.1240    -2675662.5807    2013.637 2021.960   8.32 
 PRNL  -70.3840  -24.6046     1948719.8334    -5467822.1651    -2640371.3217    2014.492 2019.155   4.66 
 PSGA  -70.1230  -19.5974     2044049.8919    -5653719.3631    -2126097.0227    2007.240 2021.988  14.75 
 PTRE  -69.5743  -18.1943     2116516.1306    -5683345.1426    -1979951.2984    2005.812 2021.988  16.18 
 PVCA  -71.6232  -30.2675     1738205.2534    -5232323.0837    -3196091.5214    2016.072 2021.985   5.91 
 QLAP  -72.1255  -36.0845     1583970.2071    -4911531.3432    -3735878.8827    2010.190 2021.985  11.79 
 QTAY  -71.7022  -33.1927     1677411.7332    -5072690.9912    -3471886.7253    2016.045 2021.985   5.94 
 QUIL  -69.5577  -21.6922     2071233.1718    -5556830.7527    -2343222.1217    2003.936 2008.425   4.49 
 RADO  -68.9268  -22.0829     2127178.4806    -5520399.7824    -2384146.8795    2007.936 2021.988  14.05 
 RCSD  -71.6135  -33.6544     1676386.1519    -5043361.5575    -3514654.4743    2008.791 2021.985  13.19 
 RGAO  -69.3798  -34.2456     1859437.4119    -4941657.8966    -3570313.4613    2010.212 2015.470   5.26 
 RIO2  -67.7511  -53.7855     1429907.8055    -3495354.8378    -5122698.6219    2007.303 2021.988  14.68 
 RIOG  -67.7511  -53.7855     1429907.7470    -3495354.7502    -5122698.6302    2000.001 2007.163   7.16 
 ROB1  -71.0158  -32.9758     1742923.8577    -5066369.6427    -3452911.9612    2016.048 2021.985   5.94 
 ROBL  -71.0151  -32.9764     1742986.3647    -5066327.4514    -3452981.6077    2008.827 2014.714   5.89 
 ROCD  -60.5439  -13.1223     3055332.3335    -5409951.4138    -1438685.2418    2010.270 2019.404   9.13 
 RODE  -69.1312  -30.2094     1965685.0671    -5156033.7144    -3191281.4942    2015.804 2021.985   6.18 
 ROJI  -61.9597  -10.8639     2945010.5575    -5529377.0345    -1194259.1987    2010.001 2021.988  11.99 
 RSAL  -55.7688  -29.7894     3116428.4522    -4580325.0197    -3150197.2778    2013.505 2021.988   8.48 
 RWSN  -65.1072  -43.2989     1956973.4220    -4217335.2697    -4351745.5295    2000.070 2021.988  21.92 
 SAGA  -67.0578   -0.1439     2486243.7438    -5873685.3319      -15906.7036    2010.001 2021.988  11.99 
 SANT  -70.6686  -33.1503     1769693.3990    -5044574.1513    -3468321.0002    2000.001 2021.988  21.99 
 SAVO  -38.4323  -12.9392     4870283.7443    -3864605.3014    -1418872.5246    2007.681 2021.988  14.31 
 SBAL  -61.2266  -30.3088     2652778.2926    -4830689.3666    -3200023.5138    2011.001 2021.988  10.99 
 SBLL  -70.7807  -34.7921     1726363.5016    -4952068.8145    -3619461.2161    2015.034 2021.985   6.95 
 SCRZ  -63.1597  -17.7968     2743005.9202    -5420745.2770    -1937117.0964    2009.845 2021.988  12.14 
 SILL  -70.7387  -29.2549     1837785.1381    -5259288.7056    -3099730.3540    2008.452 2021.766  13.31 
 SJAV  -71.7325  -35.5954     1627563.3598    -4930680.7989    -3691845.8052    2003.325 2021.985  18.66 
 SL01  -66.3140  -33.1564     2147509.1283    -4895414.2895    -3468961.9715    2009.738 2021.988  12.25 
 SLM1  -70.9745  -32.0434     1764750.0388    -5117807.0910    -3365771.2945    2018.875 2021.985   3.11 
 SLMC  -70.9628  -31.7770     1770380.9222    -5130734.2459    -3339726.4645    2003.574 2018.193  14.62 
 SMAR  -53.7166  -29.7189     3280748.4140    -4468909.8071    -3143408.5584    2012.001 2021.988   9.99 
 SMAT  -70.5372  -33.2727     1778978.7790    -5034064.0015    -3480083.8381    2018.470 2021.985   3.52 
 SRGD  -69.3478  -22.8711     2074340.0531    -5503472.8464    -2464315.0753    2006.873 2021.988  15.12 
